year,month,day,day_of_week,flight_number,dest,departure_time,closest_hour_crs_dep,op_unique_carrier
2025,3,27,5,AA2209,IAH,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA1251,PHX,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,5X755,RFD,2025-03-27 20:48:00 CDT,21,5X
2025,3,27,5,AA963,GRU,2025-03-27 20:40:00 CDT,21,AA
2025,3,27,5,F92531,PHX,2025-03-27 20:39:00 CDT,21,F9
2025,3,27,5,AA821,TUL,2025-03-27 20:38:00 CDT,21,AA
2025,3,27,5,SY504,MSP,2025-03-27 20:36:00 CDT,21,SY
2025,3,27,5,AA3541,MAF,2025-03-27 20:35:00 CDT,21,AA
2025,3,27,5,AA1857,VPS,2025-03-27 20:35:00 CDT,21,AA
2025,3,27,5,AA1092,ELP,2025-03-27 20:29:00 CDT,20,AA
2025,3,27,5,AA2102,PNS,2025-03-27 20:27:00 CDT,20,AA
2025,3,27,5,AA3531,MTY,2025-03-27 20:25:00 CDT,20,AA
2025,3,27,5,AA2071,QRO,2025-03-27 20:23:00 CDT,20,AA
2025,3,27,5,NK200,LAX,2025-03-27 20:21:00 CDT,20,NK
2025,3,27,5,AA576,AUS,2025-03-27 20:20:00 CDT,20,AA
2025,3,27,5,AA3339,LEX,2025-03-27 20:18:00 CDT,20,AA
2025,3,27,5,AA4186,ATW,2025-03-27 20:17:00 CDT,20,AA
2025,3,27,5,AA2449,JAX,2025-03-27 20:17:00 CDT,20,AA
2025,3,27,5,AA1125,LAX,2025-03-27 20:14:00 CDT,20,AA
2025,3,27,5,5X751,SDF,2025-03-27 20:12:00 CDT,20,5X
2025,3,27,5,AA937,GIG,2025-03-27 20:10:00 CDT,20,AA
2025,3,27,5,UA1214,ORD,2025-03-27 20:05:00 CDT,20,UA
2025,3,27,5,AA3518,BIS,2025-03-27 20:04:00 CDT,20,AA
2025,3,27,5,AA4139,BHM,2025-03-27 19:57:00 CDT,20,AA
2025,3,27,5,9X411,HOT,2025-03-27 19:55:00 CDT,20,9X
2025,3,27,5,QF22,MEL,2025-03-27 19:55:00 CDT,20,QF
2025,3,27,5,AA6405,SAF,2025-03-27 19:55:00 CDT,20,AA
2025,3,27,5,AA3955,CUU,2025-03-27 19:54:00 CDT,20,AA
2025,3,27,5,AA3124,MFE,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2667,LAS,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2190,BJX,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA3110,SNA,2025-03-27 08:52:00 CDT,9,AA
2025,3,27,5,UA2853,DEN,2025-03-27 08:50:00 CDT,9,UA
2025,3,27,5,AA2113,LAS,2025-03-27 08:50:00 CDT,9,AA
2025,3,27,5,NK406,LGA,2025-03-27 08:47:00 CDT,9,NK
2025,3,27,5,AA2759,SAT,2025-03-27 08:47:00 CDT,9,AA
2025,3,27,5,AA2066,SLC,2025-03-27 08:46:00 CDT,9,AA
2025,3,27,5,AA6500,TYR,2025-03-27 08:45:00 CDT,9,AA
2025,3,27,5,AA6487,AEX,2025-03-27 08:45:00 CDT,9,AA
2025,3,27,5,AA6445,LAW,2025-03-27 08:45:00 CDT,9,AA
2025,3,27,5,AA3940,GRK,2025-03-27 08:45:00 CDT,9,AA
2025,3,27,5,AA2890,PBI,2025-03-27 08:44:00 CDT,9,AA
2025,3,27,5,AA6293,ACT,2025-03-27 08:44:00 CDT,9,AA
2025,3,27,5,AA402,PHL,2025-03-27 08:44:00 CDT,9,AA
2025,3,27,5,AA3827,AUS,2025-03-27 08:43:00 CDT,9,AA
2025,3,27,5,AA1830,GDL,2025-03-27 08:43:00 CDT,9,AA
2025,3,27,5,AA5567,VPS,2025-03-27 08:42:00 CDT,9,AA
2025,3,27,5,AA3407,ABI,2025-03-27 08:40:00 CDT,9,AA
2025,3,27,5,AA1820,ONT,2025-03-27 08:40:00 CDT,9,AA
2025,3,27,5,AA1545,BOS,2025-03-27 08:40:00 CDT,9,AA
2025,3,27,5,AA1390,FLL,2025-03-27 08:40:00 CDT,9,AA
2025,3,27,5,AA1056,LGA,2025-03-27 08:39:00 CDT,9,AA
2025,3,27,5,UA2247,EWR,2025-03-27 08:38:00 CDT,9,UA
2025,3,27,5,AA2689,MIA,2025-03-27 08:37:00 CDT,9,AA
2025,3,27,5,AA4141,FSM,2025-03-27 08:36:00 CDT,9,AA
2025,3,27,5,AA2357,DEN,2025-03-27 08:36:00 CDT,9,AA
2025,3,27,5,AA389,MEX,2025-03-27 08:35:00 CDT,9,AA
2025,3,27,5,AA328,ORD,2025-03-27 08:35:00 CDT,9,AA
2025,3,27,5,AA1190,CUN,2025-03-27 08:34:00 CDT,9,AA
2025,3,27,5,AA877,BJX,2025-03-27 08:33:00 CDT,9,AA
2025,3,27,5,AA6269,SBN,2025-03-27 08:30:00 CDT,9,AA
2025,3,27,5,5X2751,SDF,2025-03-27 08:29:00 CDT,8,5X
2025,3,27,5,AA3778,BRO,2025-03-27 08:29:00 CDT,8,AA
2025,3,27,5,AA2437,SJU,2025-03-27 08:29:00 CDT,8,AA
2025,3,27,5,AA3354,ELP,2025-03-27 08:28:00 CDT,8,AA
2025,3,27,5,AA2767,SEA,2025-03-27 08:28:00 CDT,8,AA
2025,3,27,5,AA2081,SMF,2025-03-27 08:28:00 CDT,8,AA
2025,3,27,5,AA2347,EGE,2025-03-27 08:27:00 CDT,8,AA
2025,3,27,5,AA4179,TYS,2025-03-27 08:26:00 CDT,8,AA
